object_class,RefKey,RefObjFQName,RefObjFQNameLengths,RefObjFQType,RefObjGlobalId
SnpFKXRef,SNP_MAPREF.1828834,null,null,null,f08f6293-d0b4-45f8-897c-c84f21e1ccb9
SnpFKXRef,SNP_MAPREF.1828829,null,null,null,0326ed7a-d05c-454a-8047-a180b84596a2
SnpFKXRef,SNP_PHYNODE.175591,TARGET_GROUP.Copy_of_BQ_EDW_SEM_UNIT.D_PMT_METH_TYPE,12.23.15,SNP_EXECUNITGRP.SNP_EXECUNIT.SNP_PHYNODE,46119aaf-1525-435f-b04a-69e3899a55f3
SnpFKXRef,SNP_MAPEXPR.982208,null,null,null,0416c0ba-87ef-4085-845f-0d3d9c31a222
SnpFKXRef,SNP_COL.180829,Copy of EDW_VODACOM.Global.pmt_meth_type.pmt_meth_type_nm,19.6.13.16,SNP_MODEL.SNP_SUBMODEL.SNP_TABLE.SNP_COL,0a9ebcc7-caf6-4aed-b78f-211c2b6903fe
SnpFKXRef,SNP_TABLE.9418,Copy of EDW_VODACOM.Global.pmt_meth_type,19.6.13,SNP_MODEL.SNP_SUBMODEL.SNP_TABLE,8387f7b7-54ac-4c99-9a71-b53ace96e599
SnpFKXRef,SNP_MAPCP.404955,CW_PRJ_EDW_PILOT.Test.Test_3.pmt_meth_type.OUTPUT1,16.4.6.13.7,SNP_PROJECT.SNP_FOLDER.SNP_MAPPING.SNP_MAPCOMP.SNP_MAPCP,da192690-bfc0-4931-ada0-344b7e2b083e
SnpFKXRef,SNP_MAPREF.1828818,null,null,null,92abde7f-3866-40f8-907d-ef77a97c9e85
SnpFKXRef,SNP_MAPREF.1828813,null,null,null,7b7ef6fd-b3a7-4134-b27c-01743f02039d
SnpFKXRef,SNP_MAPCOMP.191368,CW_PRJ_EDW_PILOT.Test.Test_3.pmt_meth_type,16.4.6.13,SNP_PROJECT.SNP_FOLDER.SNP_MAPPING.SNP_MAPCOMP,99bc84dc-169d-4554-9cf4-caf92c9330f6
SnpFKXRef,SNP_MAPATTR.1403548,CW_PRJ_EDW_PILOT.Test.Test_3.pmt_meth_type.OUTPUT1.pmt_meth_type_nm,16.4.6.13.7.16,SNP_PROJECT.SNP_FOLDER.SNP_MAPPING.SNP_MAPCOMP.SNP_MAPCP.SNP_MAPATTR,a4f55ba2-d632-4c87-9808-e9fabc3afc6c
SnpFKXRef,SNP_COL.180832,Copy of EDW_VODACOM.Global.pmt_meth_type.prcss_clsd_dttm,19.6.13.15,SNP_MODEL.SNP_SUBMODEL.SNP_TABLE.SNP_COL,4fa524ef-3e35-4b39-bc55-fe288d0e1cf0
SnpFKXRef,SNP_MAPREF.1828823,null,null,null,4e3fe6b8-8bc4-4e71-aac0-95302279b367
SnpFKXRef,SNP_MAPREF.1828826,null,null,null,f90a7b73-53cf-4a62-ac7d-ef90eb5c7b3f
SnpFKXRef,SNP_MAPCOMPTYPE.2,FILTER,6,SNP_MAPCOMPTYPE,11f14cfc-70cd-486f-ad64-82882dba1d8f
SnpFKXRef,SNP_MAPCOMP.191369,CW_PRJ_EDW_PILOT.Test.Test_3.FILTER,16.4.6.6,SNP_PROJECT.SNP_FOLDER.SNP_MAPPING.SNP_MAPCOMP,940cecf1-a48c-49eb-ac52-dbc0c38e6d7c
SnpFKXRef,SNP_MAPCPROLE.3,FILTER.INPUT,6.5,SNP_MAPCOMPTYPE.SNP_MAPCPROLE,96e773bf-b23c-4402-a34e-a0229a7e692a
SnpFKXRef,SNP_MAPEXPR.982212,null,null,null,7fcc6ab3-cd9d-4fb6-8199-7cc872977300
SnpFKXRef,SNP_MAPATTR.1403550,CW_PRJ_EDW_PILOT.Test.Test_3.pmt_meth_type.OUTPUT1.prcss_clsd_dttm,16.4.6.13.7.15,SNP_PROJECT.SNP_FOLDER.SNP_MAPPING.SNP_MAPCOMP.SNP_MAPCP.SNP_MAPATTR,0e605c97-2de9-458d-91e7-712cdb62ab33
SnpFKXRef,SNP_MAPCP.404956,CW_PRJ_EDW_PILOT.Test.Test_3.FILTER.INPUT1,16.4.6.6.6,SNP_PROJECT.SNP_FOLDER.SNP_MAPPING.SNP_MAPCOMP.SNP_MAPCP,169fedbb-4c60-4ff2-85c1-8e68de9cc989
SnpFKXRef,SNP_MAPPROPDEF.36,FILTER.FILTER_CONDITION,6.16,SNP_MAPCOMPTYPE.SNP_MAPPROPDEF,b0aee92f-3018-4de9-b2ed-82e9f2891a4f
SnpFKXRef,SNP_MAPPROP.2375560,CW_PRJ_EDW_PILOT.Test.Test_3.FILTER_CONDITION,16.4.6.16,SNP_PROJECT.SNP_FOLDER.SNP_MAPPING.SNP_MAPPROP,54267f2e-e37d-4638-bea3-f7eb8870796c
SnpFKXRef,SNP_COL.169333,Copy of EDW_SEM.Global.d_pmt_meth_type.pmt_meth_type_desc,15.6.15.18,SNP_MODEL.SNP_SUBMODEL.SNP_TABLE.SNP_COL,883984c7-e06a-4291-908e-f38d3e7f4151
SnpFKXRef,SNP_MAPREF.1828822,null,null,null,59927b2e-23ee-42e3-a68b-947bac73df1d
SnpFKXRef,SNP_MAPATTR.1403553,CW_PRJ_EDW_PILOT.Test.Test_3.d_pmt_meth_type.OUTPUT1.pmt_meth_type_desc,16.4.6.15.7.18,SNP_PROJECT.SNP_FOLDER.SNP_MAPPING.SNP_MAPCOMP.SNP_MAPCP.SNP_MAPATTR,c189c8b6-024d-46e8-b54f-325abf23206e
SnpFKXRef,SNP_MAPEXPR.982213,null,null,null,25538740-3c5a-4c30-b82e-636caba7b064
