object_class,AdapterIntfType,AdapterName,Alias,AttrPos,AttrType,BusinessName,Cardinality,CleanupOnError,CompSubType,CompTypeVersion,CpOrder,CpPos,DataTypeName,Descript,Description,Direction,DispNameKey,ExecOnHint,ExpTxtNb,ExtDtQualName,ExtVersion,FcoGuid,FcoQualifiedName,FcoQualifiedName2,FcoQualifiedName3,FirstDate,FirstUser,GenType,GlobalId,GrpFunc,HasUnparsedIdent,HintSyncState,ICheckKm,IContextMapRef,IDataMapRef,IDeploySpec,IDisTechRef,IEndMapCp,IEuKmRef,IExOnLsRef,IExecUnit,IExecUnitGrp,IFcoId,IFolder,IFromPhyNode,ILschemaRef,IMapAttr,IMapComp,IMapCompType,IMapConn,IMapCp,IMapCpRole,IMapExpr,IMapExprRef,IMapProp,IMapPropParent,IMapRef,IMapRefCp,IMapping,IOwnerDs,IOwnerMapAttr,IOwnerMapComp,IOwnerMapCp,IOwnerMapExpr,IOwnerMapProp,IOwnerMapping,IOwnerPhyNode,IParExecUnit,IParMapAttr,IParMapCp,IParPhyNode,IPhyExpr,IPhyNode,IProject,IPropDef,IPropXrefValue,IRefId,IRefMapAttr,IRefMapComp,IRefMapRef,IRefPhyNode,IRmExprRef,IScBaseMapping,IScId,IScMapping,IScOrigMapping,IScopingMapCp,ISrcCompKm,IStartMapCp,ITechno,ITgtCompKm,IToPhyNode,IndChange,IndFixedByHint,IndFixedByTechno,InstObjNb,IntDtQualName,IntVersion,IsActive,IsCardinal,IsConcurrent,IsDerivedName,IsFixedEu,IsFrozen,IsHidden,IsParsed,IsRequired,IsReusable,IsTap,IsValid,JoinColNb,JoinNb,KeyColNb,KeyNb,LastDate,LastUser,Length,LinkDiagNb,LogStagelocName,LschemaName,MetadataVersion,MorigTxtNb,MtxtNb,MultiConGenType,Name,NodeType,OdiVersion,OptClassName,OrigTxtNb,OriginRepositoryID,OtherObjectsNb,ParsedText,ParsedTxt,PlanAgentNb,Prec,PropDefGuid,PropDefQualifiedName,PropOrder,PropType,PropValue,PropValues,PushedByHint,QualifiedName,QualifiedName2,QualifiedName3,RefCompName,RefCount,RefCpName,RefDsInputCp,RefExprQualName,RefGuid,RefKey,RefObjFQName,RefObjFQNameLengths,RefObjFQType,RefObjGlobalId,RefText,RepositoryVersion,ScGuid,ScOrigMappingTag,Scale,ScenTxtNb,SortPos,SourceDt,StageTableName,StepNb,SyncReqd,Text,TextHash,TextOnly,Txt,TxtNb,TypeName,UeOrigNb,UeUsedNb,ValidationCode,VarPlanAgentNb
SnpMapRef,IColumn,ODI,,,,null,,,,,,,,,null,,,,,,,null,IDataStore,null,null,null,null,,59927b2e-23ee-42e3-a68b-947bac73df1d,,,,,,,,,,,,,,8583,,,,,,,,,,,,,,1828822,,,,,,,,,33424,,,,,,,,,,,169333,,,,,,,null,,,,,,,,,null,,,,,null,,,,,,,,,,,,,,,,,null,null,,,,,,,,,null,,,,,,,,,,,,,,,,,,Pmt_Meth_Type_Desc,null,null,,1,,,,883984c7-e06a-4291-908e-f38d3e7f4151,,,,,,,,null,,,,,,,,,,,,,,,,,,
SnpMapAttr,,,null,null,P,null,,,,,,,null,null,null,,,,,null,,,,,,null,null,,c189c8b6-024d-46e8-b54f-325abf23206e,AUTO,,,,,1828825,,,,,,,,,,,,1403553,,,,,,,,,,1828822,,,,,,404959,,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,null,,,,null,null,,,,1,,,,,0,,,,,,,,null,null,null,,,,,,,,pmt_meth_type_desc,,,,,,,,,,null,,,,,,null,,,,,,,,,,,,,,,,,,,,null,,4,null,,,,,,,,,,,,,
SnpMapExpr,,,,,,,,,,,,,,,,,,N,,,,,,,,null,null,,25538740-3c5a-4c30-b82e-636caba7b064,,null,,,,,,null,,,null,,,,,,,,,,,404958,,982213,,,,,,,,1403553,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,,,,,null,null,,,,,,,1,,,,,,,,,null,null,,,,,,,,,,,,,,,,null,@{R0},,,,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,null,1295558740,0,pmt_meth_type.pmt_meth_type_desc,,,,,null,
SnpPhyExpr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00958864-2afa-4a3a-8e30-282e6925e6c7,,,null,,,,,,,,,,,,,null,,,,,,,,982213,,,,,,,,,,,,,,175591,,,,,675709,,,,,,,,,,null,,,,,,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,
SnpMapRef,IColumn,ODI,,,,null,,,,,,,,,null,,,,,,,null,IDataStore,null,null,null,null,,3c593944-ba9c-481b-9248-3726fcb714bd,,,,,,,,,,,,,,9418,,,,,,,,,,,,,,1828827,,,,,,,,,33424,,,,,,,,,,,183712,,,,,,,null,,,,,,,,,null,,,,,null,,,,,,,,,,,,,,,,,null,null,,,,,,,,,null,,,,,,,,,,,,,,,,,,pmt_meth_type_desc,null,null,,1,,,,c52bcc68-d022-4af1-8da8-050e02d98c73,,,,,,,,null,,,,,,,,,,,,,,,,,,
SnpMapAttr,,,null,null,P,null,,,,,,,null,null,null,,,,,null,,,,,,null,null,,ae6edddf-c687-4d32-83e6-e888f44ec017,AUTO,,,,,1828825,,,,,,,,,,,,1403554,,,,,,,,,,1828827,,,,,,404955,,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,null,,,,null,null,,,,1,,,,,0,,,,,,,,null,null,null,,,,,,,,pmt_meth_type_desc,,,,,,,,,,null,,,,,,null,,,,,,,,,,,,,,,,,,,,null,,3,null,,,,,,,,,,,,,
SnpMapExprRef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2958dc66-6f7d-4c25-a2a8-5cf627a79480,,,,,,,,,,,,,,,,,,,,,,,,,977494,,,,,,,,,,982213,,,,,,,,,,,,,,1403554,null,null,,,,,,,404958,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R0,,,,,pmt_meth_type.pmt_meth_type_desc,,,,,,,,,,,,,,,,,,,,
SnpMapRef,IColumn,ODI,,,,null,,,,,,,,,null,,,,,,,null,IDataStore,null,null,null,null,,7c5d826e-44a7-4cfa-96a7-b48f1d699aa9,,,,,,,,,,,,,,8583,,,,,,,,,,,,,,1828817,,,,,,,,,33424,,,,,,,,,,,169331,,,,,,,null,,,,,,,,,null,,,,,null,,,,,,,,,,,,,,,,,null,null,,,,,,,,,null,,,,,,,,,,,,,,,,,,Pmt_Meth_Type_Cd,null,null,,1,,,,a1c68c79-4004-4777-93a9-03a03693afb7,,,,,,,,null,,,,,,,,,,,,,,,,,,
SnpMapAttr,,,null,null,P,null,,,,,,,null,null,null,,,,,null,,,,,,null,null,,8af72fef-4994-4f75-a2ae-d96aca6ce673,AUTO,,,,,1828825,,,,,,,,,,,,1403551,,,,,,,,,,1828817,,,,,,404959,,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,null,,,,null,null,,,,1,,,,,0,,,,,,,,null,null,null,,,,,,,,pmt_meth_type_cd,,,,,,,,,,null,,,,,,null,,,,,,,,,,,,,,,,,,,,null,,2,null,,,,,,,,,,,,,
SnpMapExpr,,,,,,,,,,,,,,,,,,N,,,,,,,,null,null,,8f6191de-f677-45ab-98b0-e1b8386b7bcb,,null,,,,,,null,,,null,,,,,,,,,,,404958,,982207,,,,,,,,1403551,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,,,,,null,null,,,,,,,1,,,,,,,,,null,null,,,,,,,,,,,,,,,,null,@{R0},,,,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,null,-941667612,0,pmt_meth_type.pmt_meth_type_cd,,,,,null,
